ID Aerosol Stationary Activity Minute
7 8.96 4.67 Walking 20
7 7.13 2.46 Walking 21
7 16.65 4.12 Walking 22
7 12.31 1.89 Walking 23
7 12.53 2.16 OnPhone 24
7 10.43 1.01 OnPhone 25
7 22.94 5.11 OnPhone 26
7 12.05 1.53 OnPhone 27
7 19.6 2.72 OnPhone 28
7 12.6 2.64 OnPhone 29
7 10.46 1.8 OnPhone 30
7 2.45 3.77 Homework 31
7 1.89 1.96 Homework 32
7 1.7 1.2 Homework 33
7 2.15 3.3 Homework 34
7 2.36 4.54 Homework 35
7 2.04 2.54 Homework 36
7 4.33 8.07 Homework 37
7 9.99 4.11 WatchingTV 38
7 5.2 1.86 WatchingTV 39
7 8.02 2.36 WatchingTV 40
7 7.7 4.35 WatchingTV 41
7 10.73 5.99 WatchingTV 42
7 7.19 1.39 WatchingTV 43
7 9.97 2.22 WatchingTV 44
7 12.11 4.14 WatchingTV 45
7 13.85 3.54 Computer 46
7 4.64 2.27 Computer 47
7 7.97 1.56 Computer 48
7 11.56 1.4 Computer 49
7 18.29 5.52 Computer 50
7 14.96 4.46 Computer 51
7 12.34 2.9 Computer 52
7 8.81 3.83 VideoGames 53
7 8.26 1.85 VideoGames 54
7 6.6 1.3 VideoGames 55
7 6.58 1.11 VideoGames 56
7 6.13 4.69 VideoGames 57
7 4.6 2.21 VideoGames 58
7 4.4 3.66 VideoGames 59
8 0.11 1.17 VideoGames 1
8 0.13 2.94 VideoGames 2
8 0.14 3.73 VideoGames 3
8 0.13 2.42 VideoGames 4
8 0.12 4.5 VideoGames 5
8 0.18 2.37 VideoGames 6
8 0.28 1.67 WatchingTV 7
8 0.43 1.08 WatchingTV 8
8 0.39 2.09 WatchingTV 9
8 0.43 2.5 WatchingTV 10
8 0.38 3.61 WatchingTV 11
8 0.54 2.72 WatchingTV 12
8 0.8 1.13 WatchingTV 13
8 0.83 1.84 WatchingTV 14
8 0.31 1.45 Computer 15
8 0.36 1.83 Computer 16
8 0.36 2.38 Computer 17
8 0.69 3.04 Computer 18
8 0.49 0.73 Computer 19
8 0.45 1.51 Computer 20
8 0.4 1.01 OnPhone 21
8 0.39 7.15 OnPhone 22
8 0.4 1.78 OnPhone 23
8 0.23 4.94 OnPhone 24
8 0.32 1.71 OnPhone 25
8 0.3 3.46 OnPhone 26
8 0.3 2.38 OnPhone 27
8 0.29 4.28 OnPhone 28
8 0.55 4.14 PlayingOnFloor 29
8 0.38 3.26 PlayingOnFloor 30
8 0.49 4.41 PlayingOnFloor 31
8 0.86 2.28 PlayingOnFloor 32
8 1.33 6.96 PlayingOnFloor 33
8 1.15 2.69 PlayingOnFloor 34
8 0.98 3.5 PlayingOnFloor 35
8 1.18 0.94 PlayingOnFloor 36
8 0.97 1.81 PlayingOnFurniture 37
8 0.92 2.52 PlayingOnFurniture 38
8 1.11 2.59 PlayingOnFurniture 39
8 1.36 3.12 PlayingOnFurniture 40
8 1.51 5.52 PlayingOnFurniture 41
8 1.05 3.96 PlayingOnFurniture 42
8 0.95 2.68 PlayingOnFurniture 43
8 0.82 3.31 PlayingOnFurniture 44
8 0.14 6.69 Homework 45
8 0.18 8.64 Homework 46
8 0.12 1.97 Homework 47
8 0.13 1.98 Homework 48
8 0.09 3.86 Homework 49
8 0.06 2.55 Homework 50
8 0.08 1.73 Homework 51
8 0.12 2.03 Homework 52
8 0.19 0.9 Walking 53
8 0.15 1.78 Walking 54
8 0.18 3.09 Walking 55
8 0.23 2.06 Walking 56
8 0.21 1.25 Walking 57
8 0.3 5.64 Walking 58
8 0.22 1.74 Walking 59
9 1.7 5.21 VideoGames 1
9 1.44 4.19 VideoGames 2
9 1.57 1.56 VideoGames 3
9 1.66 1.19 VideoGames 4
9 2.5 3.13 VideoGames 5
9 2.07 5.89 VideoGames 6
9 1.39 1.55 VideoGames 7
9 1.01 2.11 VideoGames 8
9 1.03 3.93 Homework 9
9 0.9 1.61 Homework 10
9 0.37 1.5 Homework 11
9 0.52 2.44 Homework 12
9 0.53 2.34 Homework 13
9 0.59 2.16 Homework 14
9 1.9 3.24 WatchingTV 15
9 2.81 4.42 WatchingTV 16
9 2.54 1.95 WatchingTV 17
9 2.06 3.38 WatchingTV 18
9 1.44 1.81 WatchingTV 19
9 0.86 3.78 WatchingTV 20
9 0.75 5.69 WatchingTV 21
9 0.63 4.38 WatchingTV 22
9 0.43 1.58 OnPhone 23
9 0.53 5.3 OnPhone 24
9 0.43 1.66 OnPhone 25
9 0.51 4.4 OnPhone 26
9 0.58 2.54 OnPhone 27
9 0.61 1.36 OnPhone 28
9 3.02 2.74 PlayingOnFloor 29
9 3.11 3.36 PlayingOnFloor 30
9 4.54 6.85 PlayingOnFloor 31
9 3.41 2.79 PlayingOnFloor 32
9 4.72 1.9 PlayingOnFloor 33
9 4 3.1 PlayingOnFloor 34
9 3.98 1.85 PlayingOnFloor 35
9 0.93 2.48 Computer 36
9 1.9 2.72 Computer 37
9 1.09 1.76 Computer 38
9 2.04 2.5 Computer 39
9 3.05 4.36 Computer 40
9 3.36 1.14 Computer 41
9 2.66 7.45 Computer 42
9 1.47 1.84 Computer 43
9 1.9 1.6 Walking 44
9 2.54 3.04 Walking 45
9 2.62 1.81 Walking 46
9 1.37 3.34 Walking 47
9 1.01 4.62 Walking 48
9 0.77 3.24 Walking 49
9 1.22 2.34 Walking 50
9 1.07 2.71 Walking 51
9 1.8 4.8 Walking 52
9 2.46 3.33 PlayingOnFurniture 53
9 2.97 1.73 PlayingOnFurniture 54
9 3.44 2.25 PlayingOnFurniture 55
9 4.09 1.32 PlayingOnFurniture 56
9 4.72 2.27 PlayingOnFurniture 57
9 4.86 3.25 PlayingOnFurniture 58
9 2.01 2.37 PlayingOnFurniture 59
10 9.29 2.39 VideoGames 1
10 9.29 2.1 VideoGames 2
10 8.76 1.66 VideoGames 3
10 10.77 1.77 VideoGames 4
10 10.38 1.5 VideoGames 5
10 18.45 3.06 VideoGames 6
10 14.63 4.28 VideoGames 7
10 15.56 4.83 VideoGames 8
10 18.92 4.88 WatchingTV 9
10 13.66 2.21 WatchingTV 10
10 24.12 2.14 WatchingTV 11
10 18.64 1.23 WatchingTV 12
10 24.82 2.63 WatchingTV 13
